graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
fl2010.mtx;34;S;2.084308;2;56240;17803;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;35;F;0.097528;-1;-1;-1;1624922107.000000;1318146159.000000;306775948.000000;10961839500.000000;11268615448.000000
fl2010.mtx;36;S;1.862810;2;12152;4270;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;37;F;0.062565;-1;-1;-1;316115975.000000;275177021.000000;40938954.000000;11268615448.000000;11309554402.000000
fl2010.mtx;38;S;1.769205;2;3646;1308;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;39;F;0.050962;-1;-1;-1;74505481.000000;65088277.000000;9417204.000000;11309554402.000000;11318971606.000000
fl2010.mtx;40;S;1.748504;2;948;346;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;41;F;0.049425;-1;-1;-1;15955683.000000;13612770.000000;2342913.000000;11318971606.000000;11321314519.000000
fl2010.mtx;42;S;1.702124;2;250;90;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;43;F;0.058955;-1;-1;-1;3403071.000000;2888664.000000;514407.000000;11321314519.000000;11321828926.000000
fl2010.mtx;44;S;1.709322;2;58;21;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;45;F;0.044564;-1;-1;-1;826471.000000;695709.000000;130762.000000;11321828926.000000;11321959688.000000
fl2010.mtx;46;S;1.678808;2;8;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;47;F;0.043590;-1;-1;-1;89798.000000;87820.000000;1978.000000;11321959688.000000;11321961666.000000
fl2010.mtx;48;S;2.831838;3;10664;4248;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;49;F;0.065483;-1;-1;-1;539397738.000000;501088063.000000;38309675.000000;11321961666.000000;11360271341.000000
fl2010.mtx;50;S;2.708422;3;2788;1027;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;51;F;0.058177;-1;-1;-1;111212263.000000;102740452.000000;8471811.000000;11360271341.000000;11368743152.000000
fl2010.mtx;52;S;2.683332;3;854;310;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
